features,model,r2_score,mae
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9940359008222059,1714.3659124076987
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.994025250986646,1819.6324445114178
"('employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940186500331334,1808.8088626411275
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940174413068374,1802.5011328527603
"('salary', 'salary_currency', 'company_size')",GradientBoosting,0.9940047546434628,1807.6780557002965
"('work_year', 'employment_type', 'salary', 'salary_currency', 'company_location', 'company_size')",CatBoost,0.9939917346023699,1710.7304765943331
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9939857061973044,1822.8376751114204
"('job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9939854042323735,1831.9439084059873
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9939739045876904,1858.7224550373212
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9939665396157535,1734.723664724281
"('job_title', 'salary', 'salary_currency')",GradientBoosting,0.9939566134392237,1832.2849680711302
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9939559163138845,1838.9980235946978
"('employment_type', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9939525203718075,1834.1091223358976
"('salary', 'salary_currency')",GradientBoosting,0.9939497885884391,1858.6884411811016
"('job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.993944261521443,1836.8175789866805
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9939415543193629,1676.7367302903378
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9939325177403221,1738.0263567573343
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9939219407864894,1757.1927782724126
